Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,3MINDIA,EQ,20824.4,20854.95,20870.0,20625.0,20675.0,20666.35,20750.86,517,1072819510000.0,302,290,0.5609000000000001
2019-01-02,3MINDIA,EQ,20666.35,20666.35,20666.35,19952.45,19980.0,19985.75,20024.56,8642,17305221150000.0,2543,4849,0.5611
2019-01-03,3MINDIA,EQ,19985.75,20160.0,20269.95,19801.6,19950.0,19990.25,19984.9,2402,4800373640000.0,968,1605,0.6681999999999999
2019-01-04,3MINDIA,EQ,19990.25,20011.4,20540.0,19997.0,20380.35,20357.4,20262.32,3891,7884070640000.001,1557,1691,0.43460000000000004
2019-01-07,3MINDIA,EQ,20357.4,20699.45,20699.45,20350.0,20350.0,20388.25,20490.26,1121,2296958525000.0,606,840,0.7493000000000001
2019-01-08,3MINDIA,EQ,20388.25,20581.0,20596.6,20350.0,20400.0,20419.5,20423.53,718,1466409270000.0,367,447,0.6226
2019-01-09,3MINDIA,EQ,20419.5,20650.0,20650.0,20132.3,20199.0,20203.75,20296.5,1865,3785296479999.9995,516,1374,0.7367
2019-01-10,3MINDIA,EQ,20203.75,20250.0,20738.0,20250.0,20662.0,20671.35,20583.33,1157,2381491495000.0,540,737,0.637
2019-01-11,3MINDIA,EQ,20671.35,20780.0,20990.0,20600.1,20850.0,20824.5,20860.61,2123,4428706800000.0,706,1562,0.7358
2019-01-14,3MINDIA,EQ,20824.5,20954.65,20954.65,20504.15,20550.0,20572.35,20695.55,426,881630635000.0,302,254,0.5962
2019-01-15,3MINDIA,EQ,20572.35,20551.0,20944.0,20551.0,20800.0,20846.15,20760.12,1563,3244806750000.0,283,1345,0.8605
2019-01-16,3MINDIA,EQ,20846.15,20850.95,20950.0,20635.65,20700.0,20698.0,20802.29,2060,4285271060000.0,252,1882,0.9136
2019-01-17,3MINDIA,EQ,20698.0,20695.0,20990.0,20451.05,20980.0,20889.9,20640.75,3312,6836215209999.999,900,2687,0.8113
2019-01-18,3MINDIA,EQ,20889.9,20979.95,21040.0,20790.05,20925.0,20984.5,20937.26,952,1993227539999.9998,432,619,0.6502
2019-01-21,3MINDIA,EQ,20984.5,20990.05,21176.0,20854.95,20862.0,20895.9,21040.79,524,1102537635000.0,264,390,0.7443000000000001
2019-01-22,3MINDIA,EQ,20895.9,20894.95,20895.85,20611.05,20770.0,20724.8,20829.83,1862,3878515060000.0,257,1716,0.9216
2019-01-23,3MINDIA,EQ,20724.8,20750.05,20891.85,20574.2,20788.0,20701.6,20715.28,346,716748845000.0,230,208,0.6012
2019-01-24,3MINDIA,EQ,20701.6,20782.95,20790.0,20500.0,20699.95,20585.8,20637.52,276,569595575000.0,209,172,0.6232
2019-01-25,3MINDIA,EQ,20585.8,20699.95,20790.0,20430.0,20499.0,20466.85,20592.1,558,1149039035000.0,384,370,0.6631
2019-01-28,3MINDIA,EQ,20466.85,20310.5,20390.0,19950.0,20002.0,20118.6,20142.42,3569,7188828595000.0,840,2593,0.7265
2019-01-29,3MINDIA,EQ,20118.6,20111.0,20295.0,20002.0,20030.0,20082.75,20099.81,2459,4942543595000.0,343,2258,0.9183
2019-01-30,3MINDIA,EQ,20082.75,20052.3,20299.95,20032.05,20170.0,20146.45,20131.43,2197,4422874205000.0,277,2003,0.9117000000000001
2019-01-31,3MINDIA,EQ,20146.45,20115.0,20395.9,20115.0,20125.05,20151.6,20198.8,464,937224455000.0001,277,286,0.6164000000000001
2019-02-01,3MINDIA,EQ,20151.6,20160.0,20590.0,20160.0,20300.0,20293.5,20336.82,1270,2582776160000.0,334,1060,0.8346
2019-02-04,3MINDIA,EQ,20293.5,20545.0,20650.0,20300.15,20440.0,20525.85,20536.52,578,1187010685000.0,301,388,0.6713
2019-02-05,3MINDIA,EQ,20525.85,20405.95,20550.0,20405.0,20550.0,20507.6,20529.63,624,1281048955000.0,303,501,0.8029000000000001
2019-02-06,3MINDIA,EQ,20507.6,20410.15,20698.0,20217.35,20690.0,20625.1,20524.81,1169,2399350255000.0,406,974,0.8331999999999999
2019-02-07,3MINDIA,EQ,20625.1,20700.0,21121.0,20652.0,20830.0,20963.65,20813.07,1677,3490351360000.0,376,1408,0.8395999999999999
2019-02-08,3MINDIA,EQ,20963.65,21000.0,21499.0,20701.1,21499.0,21332.45,21199.46,2408,5104828800000.0,622,1874,0.7782
2019-02-11,3MINDIA,EQ,21332.45,21490.0,21775.0,21201.3,21599.85,21619.2,21604.0,1734,3746133875000.0,813,1225,0.7065
2019-02-12,3MINDIA,EQ,21619.2,21761.85,21761.85,20901.05,21000.0,21213.65,21545.94,1884,4059255015000.0,871,1349,0.716
2019-02-13,3MINDIA,EQ,21213.65,21345.0,21580.8,20751.0,20751.0,20859.6,21170.68,2310,4890427080000.0,872,1449,0.6273
2019-02-14,3MINDIA,EQ,20859.6,20999.45,21350.0,20699.8,21350.0,21333.2,21166.53,2062,4364538075000.0,990,1392,0.6751
2019-02-15,3MINDIA,EQ,21333.2,21300.0,21300.0,20830.15,20979.0,20908.85,21005.48,772,1621623085000.0,389,598,0.7746
2019-02-18,3MINDIA,EQ,20908.85,20908.85,22388.0,20899.0,22040.95,22245.3,21670.32,11347,24589310085000.0,6984,7903,0.6965000000000001
2019-02-19,3MINDIA,EQ,22245.3,22450.0,22450.0,21805.0,21899.9,21927.55,22033.56,3419,7533273250000.0,1982,2272,0.6645000000000001
2019-02-20,3MINDIA,EQ,21927.55,22113.0,22113.0,21613.0,21900.0,21971.9,21926.3,2185,4790897235000.0,1311,1441,0.6595000000000001
2019-02-21,3MINDIA,EQ,21971.9,21877.0,22799.9,21825.0,22650.05,22736.1,22369.01,2260,5055396630000.0,1377,1477,0.6535
2019-02-22,3MINDIA,EQ,22736.1,22640.6,23435.0,22640.55,23398.0,23362.5,23138.63,3049,7054968605000.0,1617,1745,0.5723
2019-02-25,3MINDIA,EQ,23362.5,23252.2,24500.0,23219.55,23450.0,23648.35,23991.61,4558,10935375290000.0,2373,2540,0.5573
2019-02-26,3MINDIA,EQ,23648.35,23490.0,23679.0,22787.0,23087.0,22899.95,23174.56,4257,9865408395000.0,2764,2606,0.6122
2019-02-27,3MINDIA,EQ,22899.95,23187.0,23305.15,22650.0,22720.0,22821.7,22966.1,6694,15373505535000.0,1882,5520,0.8246
2019-02-28,3MINDIA,EQ,22821.7,22821.7,23063.55,22647.05,23053.0,22896.25,22847.38,1545,3529919735000.0,1003,870,0.5631
2019-03-01,3MINDIA,EQ,22896.25,23098.65,23587.95,22927.0,22927.0,23011.5,23254.8,3951,9187971430000.0,1815,2429,0.6148
2019-03-05,3MINDIA,EQ,23011.5,22990.0,24000.0,22988.85,23900.0,23450.65,23650.63,6699,15843555575000.0,2719,5019,0.7492000000000001
2019-03-06,3MINDIA,EQ,23450.65,23628.0,24000.05,22951.0,22952.0,23252.1,23685.7,6683,15829151294999.998,2514,5188,0.7763
2019-03-07,3MINDIA,EQ,23252.1,23270.0,24199.1,23016.7,23800.0,23834.5,23828.56,5869,13984979525000.0,3117,3562,0.6069
2019-03-08,3MINDIA,EQ,23834.5,23988.1,24973.95,23962.4,24850.0,24848.15,24463.79,6591,16124082119999.998,2594,3831,0.5811999999999999
2019-03-11,3MINDIA,EQ,24848.15,24874.0,25100.0,24412.0,24700.0,24540.4,24767.69,6115,15145445305000.002,3166,4203,0.6873
2019-03-12,3MINDIA,EQ,24540.4,24706.0,24942.5,24412.05,24600.0,24516.6,24648.94,7247,17863085765000.0,3113,5670,0.7824
2019-03-13,3MINDIA,EQ,24516.6,24629.0,24700.0,23873.0,24200.0,24203.6,24394.68,13332,32522984535000.004,1842,11651,0.8739
2019-03-14,3MINDIA,EQ,24203.6,24005.0,24649.35,23850.05,23890.0,23932.25,23957.68,2960,7091472590000.001,1376,1943,0.6564
2019-03-15,3MINDIA,EQ,23932.25,23915.0,24447.15,23301.0,23301.0,23742.05,23786.13,68736,163496326240000.0,8570,62713,0.9124
2019-03-18,3MINDIA,EQ,23742.05,23660.0,23750.0,23140.0,23300.0,23251.85,23420.45,1649,3862032120000.0005,965,755,0.4579
2019-03-19,3MINDIA,EQ,23251.85,23445.0,23749.95,23216.8,23350.0,23517.25,23520.02,1392,3273986475000.0,781,662,0.4756
2019-03-20,3MINDIA,EQ,23517.25,23400.1,23676.3,23355.2,23355.2,23440.15,23487.89,1003,2355835495000.0,475,570,0.5683
2019-03-22,3MINDIA,EQ,23440.15,23440.15,23758.7,23440.15,23582.05,23585.0,23589.06,995,2347111475000.0,531,564,0.5668
2019-03-25,3MINDIA,EQ,23585.0,23487.0,24300.0,23017.0,24001.0,24151.45,23637.56,2970,7020353880000.0,1067,1482,0.499
2019-03-26,3MINDIA,EQ,24151.45,24300.0,24450.0,23800.0,23900.0,23949.5,24123.56,1952,4708919140000.0,820,742,0.3801
2019-03-27,3MINDIA,EQ,23949.5,23949.6,24187.85,23661.0,23756.0,23777.85,23853.68,7457,17787687845000.0,873,6675,0.8951000000000001
2019-03-28,3MINDIA,EQ,23777.85,23945.0,24150.0,23662.0,23978.5,24035.65,23929.53,579,1385519945000.0,352,275,0.47500000000000003
2019-03-29,3MINDIA,EQ,24035.65,24005.05,24300.0,23811.25,24250.0,24260.85,24060.04,1128,2713971970000.0,595,563,0.4991
2019-04-01,3MINDIA,EQ,24260.85,24270.0,24800.0,24099.75,24195.0,24294.75,24518.88,4621,11330176010000.0,1150,3150,0.6817000000000001
2019-04-02,3MINDIA,EQ,24294.75,24688.0,24688.0,24157.9,24202.0,24304.0,24256.95,6791,16472893419999.998,655,6284,0.9253
2019-04-03,3MINDIA,EQ,24304.0,24305.0,24580.3,23797.05,23960.0,23983.5,24275.89,12795,31060999280000.0,1042,12078,0.9440000000000001
2019-04-04,3MINDIA,EQ,23983.5,23760.5,24240.0,23600.0,23800.0,23654.9,23756.84,1008,2394689855000.0,555,603,0.5982000000000001
2019-04-05,3MINDIA,EQ,23654.9,23710.95,23969.0,23710.95,23879.0,23861.65,23863.43,695,1658508350000.0,333,478,0.6878000000000001
2019-04-08,3MINDIA,EQ,23861.65,24028.1,24200.0,23742.0,23899.9,23877.4,23908.85,1382,3304203075000.0,705,965,0.6983
2019-04-09,3MINDIA,EQ,23877.4,23996.9,23996.9,23140.05,23351.0,23359.1,23498.02,1936,4549215770000.0,1114,1251,0.6462000000000001
2019-04-10,3MINDIA,EQ,23359.1,23394.4,24600.0,23394.4,24393.0,24294.3,24240.91,4210,10205424095000.0,1389,2767,0.6572
2019-04-11,3MINDIA,EQ,24294.3,24294.3,24700.0,24294.3,24639.85,24590.6,24576.41,2430,5972068095000.0,823,1696,0.6979000000000001
2019-04-12,3MINDIA,EQ,24590.6,24655.0,24900.0,24513.5,24800.0,24791.55,24684.21,1529,3774215754999.9995,611,1131,0.7397
2019-04-15,3MINDIA,EQ,24791.55,24799.9,25090.0,24636.3,25000.0,24998.55,24984.17,1369,3420332650000.0,545,1116,0.8151999999999999
2019-04-16,3MINDIA,EQ,24998.55,24925.05,25439.95,24802.05,25100.0,24924.35,24995.26,3145,7861008080000.0,1533,2470,0.7854000000000001
2019-04-18,3MINDIA,EQ,24924.35,25200.0,25201.45,24671.05,24671.05,24979.2,25002.75,3699,9248518900000.0,1385,2570,0.6948000000000001
2019-04-22,3MINDIA,EQ,24979.2,24701.0,25150.0,24701.0,25003.55,25032.55,25023.06,1638,4098777060000.0,738,1114,0.6801
2019-04-23,3MINDIA,EQ,25032.55,25000.0,25200.0,24932.0,25101.0,25157.85,25150.46,1689,4247913310000.0,749,1340,0.7934000000000001
2019-04-24,3MINDIA,EQ,25157.85,25150.0,25200.0,24532.0,24753.95,24672.75,24952.53,2244,5599348130000.0,863,1560,0.6951999999999999
2019-04-25,3MINDIA,EQ,24672.75,24602.05,24927.85,24602.05,24870.05,24871.0,24852.54,419,1041321515000.0,212,294,0.7017
2019-04-26,3MINDIA,EQ,24871.0,24500.0,24500.0,23335.0,23465.0,23510.9,23778.59,6812,16197972544999.998,2312,4528,0.6647
2019-04-30,3MINDIA,EQ,23510.9,23424.0,23511.0,22665.0,22925.0,22926.7,22934.34,3844,8815960710000.0,1320,2707,0.7042
2019-05-02,3MINDIA,EQ,22926.7,22926.7,23595.0,22826.7,23194.0,23105.45,23227.09,1565,3635039020000.0005,739,810,0.5176
2019-05-03,3MINDIA,EQ,23105.45,23269.0,23419.8,22739.0,22800.0,22844.35,22934.32,1084,2486080655000.0,682,637,0.5876
2019-05-06,3MINDIA,EQ,22844.35,22766.0,23000.0,22310.0,22800.0,22831.65,22769.75,654,1489141545000.0,368,425,0.6498
2019-05-07,3MINDIA,EQ,22831.65,22830.0,23328.0,22637.75,23210.0,23225.7,23048.09,786,1811579939999.9998,470,486,0.6183
2019-05-08,3MINDIA,EQ,23225.7,23000.55,23299.0,23000.3,23010.0,23122.25,23176.48,349,808859010000.0,216,210,0.6017
2019-05-09,3MINDIA,EQ,23122.25,22901.05,23075.75,22750.0,22750.0,22810.85,22854.17,1064,2431683510000.0,716,739,0.6945
2019-05-10,3MINDIA,EQ,22810.85,22999.95,23248.0,22671.85,22900.0,22936.6,22982.06,568,1305380820000.0,347,205,0.36090000000000005
2019-05-13,3MINDIA,EQ,22936.6,22727.4,23118.0,22727.4,22835.0,22783.8,22860.73,652,1490519415000.0,313,412,0.6319
2019-05-14,3MINDIA,EQ,22783.8,22912.4,23300.0,22700.0,23093.0,23219.05,22911.35,1022,2341540205000.0,469,745,0.7290000000000001
2019-05-15,3MINDIA,EQ,23219.05,23397.85,23444.95,22565.15,23042.0,22951.25,23059.03,780,1798604485000.0002,504,354,0.45380000000000004
2019-05-16,3MINDIA,EQ,22951.25,22951.25,23038.7,22599.9,22700.0,22760.1,22810.11,969,2210299455000.0,569,521,0.5377000000000001
2019-05-17,3MINDIA,EQ,22760.1,22968.0,22986.95,22500.0,22798.85,22758.65,22730.85,973,2211711980000.0,474,593,0.6095
2019-05-20,3MINDIA,EQ,22758.65,23399.0,23756.8,22625.0,22975.05,22996.0,23293.86,2671,6221790155000.0,1206,1620,0.6065
2019-05-21,3MINDIA,EQ,22996.0,22990.85,23219.8,22710.25,23171.0,23109.2,23020.46,2088,4806671685000.0,574,926,0.4435
2019-05-22,3MINDIA,EQ,23109.2,22900.5,23200.0,22621.0,23188.0,22826.75,22902.57,1592,3646088904999.9995,639,1022,0.642
2019-05-23,3MINDIA,EQ,22826.75,23188.0,23299.0,22871.85,23220.0,23122.85,23164.99,1430,3312593055000.0,625,971,0.679
2019-05-24,3MINDIA,EQ,23122.85,23284.65,23936.0,23051.5,23800.0,23836.1,23638.87,1058,2500992070000.0,501,753,0.7117
2019-05-27,3MINDIA,EQ,23836.1,23999.0,24254.95,23858.75,23875.0,23937.5,24061.85,2059,4954334180000.0,720,1449,0.7037000000000001
2019-05-28,3MINDIA,EQ,23937.5,23930.0,24200.0,23799.95,24019.3,23913.05,24059.01,1689,4063565985000.0,746,1060,0.6276
2019-05-29,3MINDIA,EQ,23913.05,22790.0,23149.0,21910.0,22940.0,22927.25,22515.62,12565,28290881060000.004,4831,4296,0.3419
2019-05-30,3MINDIA,EQ,22927.25,22700.0,23200.0,22601.0,22765.0,22816.35,22810.33,1839,4194819075000.0,988,908,0.49369999999999997
2019-05-31,3MINDIA,EQ,22816.35,23182.8,23182.8,22500.0,22729.0,22741.8,22722.27,1391,3160668375000.0,841,706,0.5075000000000001
2019-06-03,3MINDIA,EQ,22741.8,22718.9,22900.0,22500.5,22899.0,22859.05,22763.72,1051,2392466495000.0,548,636,0.6051
